LOCALITA,DATA,TMEDIA Â°C,TMIN Â°C,TMAX Â°C,PUNTORUGIADA Â°C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI,Pioggia,Nebbia
Torino,1/1/2016,4,3,5,1,83,5,4,7,0,1025,0,0,,0,0
Torino,1/2/2016,3,2,4,2,92,2,4,11,0,1018,0,0,pioggia ,1,0
Torino,1/3/2016,2,1,2,1,95,2,6,11,0,1009,0,0,nebbia ,0,1
Torino,1/4/2016,1,0,2,1,93,3,5,9,0,1000,0,0,pioggia neve ,1,0
Torino,1/5/2016,3,1,4,1,87,7,5,9,0,1000,0,0,,0,0
Torino,1/6/2016,3,-1,8,1,80,12,5,11,0,1001,0,0,,0,0
Torino,1/7/2016,2,-1,6,2,83,11,6,13,0,1003,0,0,pioggia ,1,0
Torino,1/8/2016,2,-2,5,2,90,9,5,11,0,1008,0,0,,0,0
Torino,1/9/2016,4,1,6,2,87,6,4,7,0,1007,0,0,pioggia nebbia ,1,1
Torino,1/10/2016,3,0,6,3,97,2,5,11,0,1003,0,0,nebbia ,0,1
Torino,1/11/2016,7,5,10,5,84,5,7,15,0,997,0,0,pioggia nebbia ,1,1
Torino,1/12/2016,10,4,15,0,39,41,17,32,0,1003,0,0,,0,0
Torino,1/13/2016,8,2,13,0,26,48,18,39,59,1014,0,0,,0,0
Torino,1/14/2016,3,-2,7,0,57,15,8,30,0,1014,0,0,,0,0
Torino,1/15/2016,3,-5,11,0,51,34,8,20,0,1010,0,0,,0,0
Torino,1/16/2016,4,-3,10,0,29,33,8,20,0,1015,0,0,,0,0
Torino,1/17/2016,4,-1,9,0,26,36,9,19,0,1017,0,0,,0,0
Torino,1/18/2016,-1,-5,3,0,44,15,6,11,0,1019,0,0,,0,0
Torino,1/19/2016,0,-3,4,0,48,20,4,7,0,1016,0,0,,0,0
Torino,1/20/2016,-1,-6,5,0,55,14,5,7,0,1017,0,0,,0,0
Torino,1/21/2016,-1,-5,5,0,61,15,6,13,0,1021,0,0,,0,0
Torino,1/22/2016,0,-4,5,0,63,8,5,11,0,1031,0,0,,0,0
Torino,1/23/2016,1,-3,7,0,65,6,6,11,0,1032,0,0,,0,0
Torino,1/24/2016,3,-2,12,0,61,6,5,13,0,1034,0,0,,0,0
Torino,1/25/2016,5,-2,13,0,56,8,5,9,0,1031,0,0,,0,0
Torino,1/26/2016,6,0,14,3,66,9,5,9,0,1029,0,0,,0,0
Torino,1/27/2016,7,1,13,5,73,8,5,9,0,1028,0,0,,0,0
Torino,1/28/2016,9,6,13,5,75,6,4,9,0,1028,0,0,,0,0
Torino,1/29/2016,8,3,14,3,70,8,5,9,0,1030,0,0,,0,0
Torino,1/30/2016,7,2,12,4,79,5,5,11,0,1026,0,0,nebbia ,0,1
Torino,1/31/2016,7,1,12,5,86,3,6,9,0,1016,0,0,nebbia ,0,1
Torino,2/1/2016,7,1,14,5,83,5,6,13,0,1022,0,0,nebbia ,0,1
Torino,2/2/2016,7,5,9,6,94,2,4,9,0,1025,0,0,nebbia ,0,1
